"year","no_of_transaction","total_qty","total_revenue_usd"
"2016-09-26 14:21:06","11","3778","19882.16"
"2016-09-26 13:38:04","11","8963","56644.60"
"2016-09-26 11:29:38","20","7613","41161.06"
"2016-09-26 11:27:29","11","8963","56644.60"
"2016-09-26 11:08:12","8","5759","37653.96"
"2016-09-26 09:22:10","9","5794","37465.37"
"2016-09-26 08:47:15","37","21024","117862.77"
"2016-09-26 08:24:51","55","31887","217473.85"
"2016-09-26 05:22:54","6","2929","15578.40"
"2016-09-26 01:17:16","10","3810","20767.15"
"2016-09-26 00:37:21","10","3810","20767.15"
"2016-09-25 23:15:20","23","14424","99125.76"
"2016-09-25 22:33:26","43","28601","188457.46"
"2016-09-25 21:53:44","19","8437","45873.47"
"2016-09-25 19:39:31","12","5831","36294.27"
"2016-09-25 19:20:48","11","4920","26339.70"
"2016-09-25 16:59:23","46","17788","96376.94"
"2016-09-25 13:56:59","4","1902","10264.51"
"2016-09-25 12:32:19","4","1902","10264.51"
"2016-09-25 10:36:26","10","5169","34675.03"
"2016-09-25 07:15:43","23","6617","46208.37"
"2016-09-25 02:00:03","21","6965","38204.46"
"2016-09-25 01:43:37","9","5794","37465.37"
"2016-09-25 01:29:32","13","2244","14629.16"
"2016-09-25 00:53:17","18","5000","33982.78"
"2016-09-25 00:02:22","60","23956","130893.51"
"2016-09-24 23:36:04","38","21165","143471.26"
"2016-09-24 22:39:30","13","4734","25526.30"
"2016-09-24 21:24:20","40","15469","84768.94"
"2016-09-24 20:44:15","23","8419","45557.51"
"2016-09-24 20:26:20","18","5000","33982.78"
"2016-09-24 18:17:04","10","8476","57059.76"
"2016-09-24 17:05:17","6","4202","30741.01"
"2016-09-24 14:38:58","21","6965","38204.46"
"2016-09-24 13:15:22","49","21791","122957.11"
"2016-09-24 09:48:18","58","24155","135924.15"
"2016-09-24 09:33:56","37","22902","154811.43"
"2016-09-24 08:09:37","57","22552","123503.18"
"2016-09-24 04:23:28","7","5306","35759.70"
"2016-09-24 03:21:09","49","29101","200174.66"
"2016-09-24 03:05:59","6","4202","30741.01"
"2016-09-24 02:41:46","25","14382","98474.44"
"2016-09-24 02:09:31","40","24120","127671.94"
"2016-09-24 00:12:00","35","19596","131173.41"
"2016-09-23 23:18:54","25","19190","123847.32"
"2016-09-23 21:20:38","36","17917","107142.63"
"2016-09-23 20:37:24","19","9539","51477.19"
"2016-09-23 18:08:12","8","5150","35487.34"
"2016-09-23 15:42:17","12","10221","73833.01"
"2016-09-23 15:09:01","8","5150","35487.34"
"2016-09-23 13:32:53","27","11313","62148.87"
"2016-09-23 12:59:48","23","8419","45557.51"
"2016-09-23 08:52:12","11","6738","45967.25"
"2016-09-23 07:45:17","20","6984","37796.28"
"2016-09-23 03:20:22","28","19747","127945.10"
"2016-09-23 03:16:51","8","4256","28678.06"
"2016-09-23 01:53:54","50","40833","293861.14"
"2016-09-23 01:53:07","43","27077","179761.43"
"2016-09-22 23:40:05","15","10358","65091.39"
"2016-09-22 23:00:13","67","40904","281018.36"
"2016-09-22 20:18:44","9","3549","18491.51"
"2016-09-22 19:04:53","15","5153","28296.53"
"2016-09-22 18:27:50","31","17836","118867.17"
"2016-09-22 15:06:20","57","22177","119965.08"
"2016-09-22 14:31:31","57","24087","130964.11"
"2016-09-22 14:31:01","19","11636","79488.37"
"2016-09-22 09:03:16","12","8257","56179.21"
"2016-09-22 08:51:57","28","12723","67459.65"
"2016-09-22 08:20:58","27","11746","64536.17"
"2016-09-22 08:05:12","9","3549","18491.51"
"2016-09-22 07:26:53","43","16849","94684.25"
"2016-09-22 04:20:33","11","4920","26339.70"
"2016-09-22 03:41:41","60","28629","163579.18"
"2016-09-22 03:12:17","11","4177","22266.77"
"2016-09-22 00:54:13","16","3298","19963.61"
"2016-09-21 23:37:03","25","14397","96593.53"
"2016-09-21 21:26:58","28","12723","67459.65"
"2016-09-21 19:17:21","9","3022","16626.60"
"2016-09-21 18:26:08","53","24215","135517.95"
"2016-09-21 17:47:00","7","16320","90105.16"
"2016-09-21 16:56:32","11","5292","30083.18"
"2016-09-21 14:06:11","9","6661","46822.63"
"2016-09-21 13:57:15","17","5915","32044.55"
"2016-09-21 12:16:03","24","4795","28012.07"
"2016-09-21 12:04:16","23","22841","167271.80"
"2016-09-21 10:31:00","59","28107","153705.10"
"2016-09-21 04:33:46","25","14397","96593.53"
"2016-09-21 03:59:57","56","44750","231856.98"
"2016-09-21 03:59:35","30","21716","144865.83"
"2016-09-21 02:38:13","65","36887","251299.77"
"2016-09-21 00:27:03","53","24215","135517.95"
"2016-09-20 23:31:07","4","2633","16923.55"
"2016-09-20 20:31:31","14","6366","33673.86"
"2016-09-20 18:53:48","8","5182","33028.08"
"2016-09-20 18:06:58","8","5605","38569.85"
"2016-09-20 12:58:49","14","11214","75110.81"
"2016-09-20 10:15:48","10","5586","38198.82"
"2016-09-20 10:03:09","25","14929","96779.18"
"2016-09-20 09:22:36","12","5194","27733.33"
"2016-09-20 09:05:04","23","22841","167271.80"
"2016-09-20 07:31:51","29","11430","60936.18"
"2016-09-20 06:42:49","9","3549","18491.51"
"2016-09-20 06:38:44","8","5605","38569.85"
"2016-09-20 05:56:23","24","8110","43692.29"
"2016-09-20 05:56:15","62","24538","137227.88"
"2016-09-20 05:03:49","24","10477","55883.55"
"2016-09-20 04:34:55","27","11746","64536.17"
"2016-09-20 04:29:04","27","17563","115376.17"
"2016-09-20 04:16:19","35","16574","94244.44"
"2016-09-20 01:37:15","65","36887","251299.77"
"2016-09-19 23:04:11","66","43730","300694.79"
"2016-09-19 20:25:45","15","5153","28296.53"
"2016-09-19 19:33:07","9","5661","36982.12"
"2016-09-19 18:52:11","24","16024","105115.44"
"2016-09-19 18:03:33","10","4536","25107.81"
"2016-09-19 16:10:44","58","27235","147599.56"
"2016-09-19 15:03:44","7","2888","15716.26"
"2016-09-19 14:28:26","25","12011","80328.56"
"2016-09-19 13:03:37","7","2388","12868.38"
"2016-09-19 11:49:52","10","6886","44407.22"
"2016-09-19 10:48:20","18","10930","75130.50"
"2016-09-19 10:28:59","16","8832","59727.21"
"2016-09-19 09:29:00","17","5915","32044.55"
"2016-09-19 08:54:47","50","25343","140046.68"
"2016-09-19 08:24:27","7","2977","15782.23"
"2016-09-19 05:36:18","6","3659","19023.36"
"2016-09-19 04:49:53","16","8567","57035.05"
"2016-09-19 03:46:50","7","2888","15716.26"
"2016-09-19 03:35:56","10","5586","38198.82"
"2016-09-19 03:10:44","66","49246","345618.59"
"2016-09-19 02:32:47","7","2888","15716.26"
"2016-09-19 01:48:28","6","3659","19023.36"
"2016-09-18 23:53:23","32","14894","86362.70"
"2016-09-18 23:32:13","12","6065","38851.15"
"2016-09-18 20:49:42","43","8276","51647.76"
"2016-09-18 18:55:49","2","1492","9743.13"
"2016-09-18 18:27:09","11","4920","26339.70"
"2016-09-18 16:28:44","10","4536","25107.81"
"2016-09-18 15:07:23","12","5831","36294.27"
"2016-09-18 12:53:53","19","11294","77628.11"
"2016-09-18 12:18:06","11","4564","24961.87"
"2016-09-18 08:58:13","55","24656","130153.59"
"2016-09-18 03:56:55","49","29101","200174.66"
"2016-09-18 03:54:52","35","15177","83419.38"
"2016-09-18 00:45:12","58","24116","163887.39"
"2016-09-17 22:12:09","58","24155","135924.15"
"2016-09-17 21:13:07","13","6126","32226.37"
"2016-09-17 20:37:35","10","5233","34839.82"
"2016-09-17 14:19:26","27","6258","38648.01"
"2016-09-17 11:39:37","57","27248","153015.87"
"2016-09-17 11:23:38","35","19596","131173.41"
"2016-09-17 10:10:48","9","3711","19218.88"
"2016-09-17 08:23:08","12","7119","49162.70"
"2016-09-17 06:46:20","9","3990","22100.01"
"2016-09-17 05:08:25","18","9446","56162.34"
"2016-09-17 04:56:40","9","3593","20277.57"
"2016-09-17 03:45:36","35","16574","94244.44"
"2016-09-16 22:01:59","12","8582","57130.53"
"2016-09-16 16:44:22","16","12214","81697.27"
"2016-09-16 14:32:35","63","21706","118879.76"
"2016-09-16 12:39:13","16","8832","59727.21"
"2016-09-16 08:02:27","7","3575","22961.03"
"2016-09-16 05:03:10","56","24182","135822.85"
"2016-09-16 02:51:36","14","11214","75110.81"
"2016-09-15 20:07:01","56","44750","231856.98"
"2016-09-15 19:22:49","12","6065","38851.15"
"2016-09-15 19:04:38","23","4400","27558.30"
"2016-09-15 19:03:39","12","9429","61561.44"
"2016-09-15 16:56:44","12","8257","56179.21"
"2016-09-15 16:36:01","11","2444","15727.19"
"2016-09-15 14:54:14","20","8003","42881.21"
"2016-09-15 10:35:43","27","14896","101553.15"
"2016-09-15 09:47:33","13","5808","30708.92"
"2016-09-15 09:24:53","8","14806","110027.29"
"2016-09-15 08:57:55","16","3298","19963.61"
"2016-09-15 08:51:52","23","9285","49930.29"
"2016-09-15 07:44:47","15","10031","66812.24"
"2016-09-15 06:55:57","15","10031","66812.24"
"2016-09-15 06:40:04","12","7035","48578.16"
"2016-09-15 02:35:07","23","6617","46208.37"
"2016-09-15 01:46:43","31","17836","118867.17"
"2016-09-14 20:40:25","12","7119","49162.70"
"2016-09-14 19:34:32","10","5233","34839.82"
"2016-09-14 19:09:48","40","24120","127671.94"
"2016-09-14 18:45:09","4","1286","6962.07"
"2016-09-14 18:39:15","66","39863","272672.84"
"2016-09-14 18:10:25","10","3835","20257.43"
"2016-09-14 12:52:15","9","3990","22100.01"
"2016-09-14 12:41:40","37","22902","154811.43"
"2016-09-14 11:52:20","1","164","859.64"
"2016-09-14 11:42:38","23","9789","54792.72"
"2016-09-14 06:32:46","8","4256","28678.06"
"2016-09-14 05:36:45","18","10985","66381.57"
"2016-09-14 03:45:35","14","6175","32937.93"
"2016-09-14 03:09:46","28","12723","67459.65"
"2016-09-14 02:51:31","9","3990","22100.01"
"2016-09-14 01:44:03","42","7799","47417.76"
"2016-09-14 01:25:25","10","3979","22484.81"
"2016-09-14 01:21:10","12","7943","50888.03"
"2016-09-14 01:16:12","4","1286","6962.07"
"2016-09-14 00:45:42","21","8842","47487.78"
"2016-09-14 00:28:42","12","5194","27733.33"
"2016-09-13 22:21:52","16","9674","65958.07"
"2016-09-13 20:00:00","32","14894","86362.70"
"2016-09-13 18:50:18","10","6886","44407.22"
"2016-09-13 17:36:10","5","2185","11501.84"
"2016-09-13 16:58:57","19","9539","51477.19"
"2016-09-13 15:06:02","32","14894","86362.70"
"2016-09-13 14:34:20","24","9805","54114.02"
"2016-09-13 13:56:11","7","4015","27074.63"
"2016-09-13 12:00:47","5","2185","11501.84"
"2016-09-13 07:48:08","32","14894","86362.70"
"2016-09-13 07:17:11","14","5393","29151.21"
"2016-09-13 03:44:50","29","17538","119173.59"
"2016-09-13 01:19:56","7","2977","15782.23"
"2016-09-13 00:50:01","25","14382","98474.44"
"2016-09-12 17:09:23","20","9824","64604.00"
"2016-09-12 15:46:56","10","3835","20257.43"
"2016-09-12 15:30:02","68","40535","278575.64"
"2016-09-12 10:03:44","23","4400","27558.30"
"2016-09-12 07:07:00","58","24116","163887.39"
"2016-09-12 05:31:01","8","14806","110027.29"
"2016-09-12 05:07:46","8","4687","31273.02"
"2016-09-12 04:52:32","65","39187","269155.34"
"2016-09-12 03:12:21","62","56410","382873.30"
"2016-09-12 01:11:42","8","5759","37653.96"
"2016-09-12 00:51:01","35","15177","83419.38"
"2016-09-11 22:54:21","27","17563","115376.17"
"2016-09-11 22:37:41","30","21964","139015.09"
"2016-09-11 22:23:53","22","14081","94725.92"
"2016-09-11 19:18:07","29","16806","112176.03"
"2016-09-11 18:17:22","11","8963","56644.60"
"2016-09-11 17:06:53","28","18924","124014.87"
"2016-09-11 15:20:06","33","13464","72788.52"
"2016-09-11 13:26:48","66","43730","300694.79"
"2016-09-11 12:30:19","27","18427","131318.64"
"2016-09-11 09:41:03","8","4687","31273.02"
"2016-09-11 08:13:29","17","11480","76630.92"
"2016-09-11 06:43:33","7","4015","27074.63"
"2016-09-11 06:09:06","60","23956","130893.51"
"2016-09-11 03:25:32","53","24215","135517.95"
"2016-09-11 02:27:49","20","8003","42881.21"
"2016-09-11 01:02:54","11","4564","24961.87"
"2016-09-11 00:35:31","20","9333","49975.93"
"2016-09-10 23:40:52","3","1493","9914.23"
"2016-09-10 22:18:55","15","9469","62504.05"
"2016-09-10 17:06:17","13","7434","52020.60"
"2016-09-10 14:41:17","58","28452","160051.04"
"2016-09-10 13:46:03","13","5808","30708.92"
"2016-09-10 12:49:05","41","26597","185463.76"
"2016-09-10 11:36:16","6","2994","19539.86"
"2016-09-10 11:13:21","50","25343","140046.68"
"2016-09-10 05:12:38","6","2994","19539.86"
"2016-09-10 04:00:50","51","23299","125968.04"
"2016-09-10 00:24:51","15","10358","65091.39"
"2016-09-10 00:17:03","9","3711","19218.88"
"2016-09-09 22:55:43","13","4721","25765.17"
"2016-09-09 18:43:49","20","6984","37796.28"
"2016-09-09 18:28:56","61","24119","132868.82"
"2016-09-09 18:18:55","25","19190","123847.32"
"2016-09-09 17:48:36","13","2379","15454.01"
"2016-09-09 16:53:26","56","22852","126898.91"
"2016-09-09 16:42:29","13","6728","46725.41"
"2016-09-09 09:56:04","13","4734","25526.30"
"2016-09-09 09:23:40","7","2888","15716.26"
"2016-09-09 07:34:49","18","10930","75130.50"
"2016-09-09 07:02:47","10","3810","20767.15"
"2016-09-09 04:37:42","41","26597","185463.76"
"2016-09-09 02:55:33","8","5182","33028.08"
"2016-09-09 02:31:56","63","21706","118879.76"
"2016-09-09 01:39:27","8","3121","21692.01"
"2016-09-08 22:58:23","9","3593","20277.57"
"2016-09-08 22:10:19","65","39187","269155.34"
"2016-09-08 20:54:52","17","11480","76630.92"
"2016-09-08 16:16:50","71","42358","291047.25"
"2016-09-08 15:13:06","40","15469","84768.94"
"2016-09-08 14:05:37","42","24507","167717.40"
"2016-09-08 12:38:57","10","3979","22484.81"
"2016-09-08 12:10:52","9","6661","46822.63"
"2016-09-08 12:09:00","16","3033","18285.93"
"2016-09-08 07:02:22","22","14081","94725.92"
"2016-09-08 06:08:39","9","6661","46822.63"
"2016-09-08 06:02:18","9","8707","63743.89"
"2016-09-08 04:17:32","51","34627","237781.30"
"2016-09-08 02:09:42","2","1492","9743.13"
"2016-09-08 00:34:35","65","39187","269155.34"
"2016-09-08 00:15:06","23","22841","167271.80"
"2016-09-07 19:34:24","8","5182","33028.08"
"2016-09-07 17:09:26","19","8437","45873.47"
"2016-09-07 14:04:31","56","24182","135822.85"
"2016-09-07 01:40:57","61","35750","241711.25"
"2016-09-07 00:31:47","10","5338","35961.76"
"2016-09-06 21:49:23","15","10031","66812.24"
"2016-09-06 21:29:30","16","8567","57035.05"
"2016-09-06 19:06:17","16","9674","65958.07"
"2016-09-06 16:59:50","13","33156","255319.18"
"2016-09-06 15:59:53","25","12011","80328.56"
"2016-09-06 14:22:44","15","9207","61255.50"
"2016-09-06 13:20:18","24","9805","54114.02"
"2016-09-06 13:06:28","53","24215","135517.95"
"2016-09-06 12:38:38","56","24182","135822.85"
"2016-09-06 07:22:59","58","24948","138323.59"
"2016-09-06 06:22:17","9","3785","25198.55"
"2016-09-06 04:21:24","15","10031","66812.24"
"2016-09-06 03:16:51","11","2087","13282.42"
"2016-09-06 02:08:00","9","3549","18491.51"
"2016-09-06 01:14:03","13","2379","15454.01"
"2016-09-06 01:01:48","13","4734","25526.30"
"2016-09-06 00:03:22","23","9789","54792.72"
"2016-09-05 21:33:51","13","7434","52020.60"
"2016-09-05 20:30:22","14","6175","32937.93"
"2016-09-05 16:07:52","9","4205","22681.17"
"2016-09-05 15:00:48","60","23956","130893.51"
"2016-09-05 14:34:28","27","11313","62148.87"
"2016-09-05 12:50:40","9","3870","20240.66"
"2016-09-05 11:27:06","12","6148","40607.07"
"2016-09-05 09:30:05","61","23973","130917.00"
"2016-09-05 08:54:58","21","8842","47487.78"
"2016-09-05 08:43:03","14","6175","32937.93"
"2016-09-05 08:14:27","14","6366","33673.86"
"2016-09-05 05:59:21","9","8707","63743.89"
"2016-09-05 05:46:39","20","6984","37796.28"
"2016-09-05 04:39:14","21","6965","38204.46"
"2016-09-05 01:34:40","9","5794","37465.37"
"2016-09-04 22:59:49","25","13148","88946.14"
"2016-09-04 22:47:48","11","10030","67439.95"
"2016-09-04 19:36:57","29","17538","119173.59"
"2016-09-04 17:16:25","4","2633","16923.55"
"2016-09-04 16:36:47","58","27235","147599.56"
"2016-09-04 12:24:48","65","36603","244695.99"
"2016-09-04 10:30:54","68","40412","275288.30"
"2016-09-04 10:27:19","21","8585","47645.86"
"2016-09-04 08:06:26","21","8585","47645.86"
"2016-09-04 05:56:49","29","17538","119173.59"
"2016-09-04 04:37:59","57","22177","119965.08"
"2016-09-04 03:52:55","57","27248","153015.87"
"2016-09-04 02:32:04","11","10030","67439.95"
"2016-09-04 02:30:54","8","5759","37653.96"
"2016-09-03 23:20:21","19","11294","77628.11"
"2016-09-03 20:45:08","10","5169","34675.03"
"2016-09-03 19:12:59","23","8419","45557.51"
"2016-09-03 12:30:10","17","10798","75600.49"
"2016-09-03 11:10:21","17","5915","32044.55"
"2016-09-03 10:53:01","9","4034","22734.13"
"2016-09-03 08:33:00","37","20761","135730.44"
"2016-09-03 06:46:50","30","21964","139015.09"
"2016-09-03 06:19:24","8","5759","37653.96"
"2016-09-03 04:49:19","23","8419","45557.51"
"2016-09-03 03:48:56","10","2063","13507.23"
"2016-09-03 03:32:33","23","9789","54792.72"
"2016-09-03 00:32:43","11","4177","22266.77"
"2016-09-02 23:23:32","12","8582","57130.53"
"2016-09-02 21:16:58","62","34581","234225.65"
"2016-09-02 18:53:26","9","3022","16626.60"
"2016-09-02 18:07:39","57","27248","153015.87"
"2016-09-02 16:49:31","57","33190","205886.97"
"2016-09-02 15:13:49","61","35358","238962.47"
"2016-09-02 11:26:46","12","5831","36294.27"
"2016-09-02 10:42:09","16","12396","81700.33"
"2016-09-02 06:34:45","32","14894","86362.70"
"2016-09-02 05:19:19","30","18186","120523.91"
"2016-09-02 04:32:31","9","3022","16626.60"
"2016-09-02 01:47:30","11","4920","26339.70"
"2016-09-02 01:12:54","8","3121","21692.01"
"2016-09-01 23:28:01","56","44750","231856.98"
"2016-09-01 23:17:37","29","11430","60936.18"
"2016-09-01 23:11:35","6","2929","15578.40"
"2016-09-01 21:13:41","27","18427","131318.64"
"2016-09-01 19:34:03","14","6476","36218.43"
"2016-09-01 18:33:56","28","18924","124014.87"
"2016-09-01 16:27:06","12","9429","61561.44"
"2016-09-01 16:20:51","7","16320","90105.16"
"2016-09-01 16:15:17","7","2388","12868.38"
"2016-09-01 14:20:07","13","6448","38469.65"
"2016-09-01 11:23:38","31","13364","72875.84"
"2016-09-01 07:41:55","9","4034","22734.13"
"2016-09-01 05:27:20","9","4120","21937.08"
"2016-09-01 02:32:39","7","2388","12868.38"
"2016-09-01 02:13:09","13","33156","255319.18"
"2016-09-01 02:07:42","62","24538","137227.88"
"2016-09-01 00:02:54","60","47506","326819.48"
"2016-08-31 23:36:13","17","9622","64251.56"
"2016-08-31 20:48:44","62","24538","137227.88"
"2016-08-31 18:51:25","19","8437","45873.47"
"2016-08-31 17:30:13","9","3711","19218.88"
"2016-08-31 16:55:18","14","9032","59086.76"
"2016-08-31 15:50:13","65","24655","137600.67"
"2016-08-31 15:45:08","19","9539","51477.19"
"2016-08-31 15:06:06","3","1646","10667.46"
"2016-08-31 10:23:36","14","6366","33673.86"
"2016-08-31 08:35:19","60","39570","253635.75"
"2016-08-31 06:30:56","20","9824","64604.00"
"2016-08-31 05:29:47","25","14929","96779.18"
"2016-08-31 03:10:41","66","43730","300694.79"
"2016-08-31 03:08:27","31","20795","134039.25"
"2016-08-31 03:03:42","19","9524","59946.40"
"2016-08-31 01:46:17","58","24155","135924.15"
"2016-08-30 19:17:34","14","6476","36218.43"
"2016-08-30 19:15:12","13","6728","46725.41"
"2016-08-30 19:10:00","6","3498","19975.91"
"2016-08-30 17:46:02","12","7943","50888.03"
"2016-08-30 16:53:31","65","24655","137600.67"
"2016-08-30 16:08:55","17","9622","64251.56"
"2016-08-30 15:03:03","40","15469","84768.94"
"2016-08-30 12:27:56","14","6476","36218.43"
"2016-08-30 12:22:31","40","23129","157782.52"
"2016-08-30 12:06:46","10","5169","34675.03"
"2016-08-30 11:26:44","12","6148","40607.07"
"2016-08-30 11:24:38","16","3298","19963.61"
"2016-08-30 06:36:25","7","4015","27074.63"
"2016-08-30 06:32:11","29","11430","60936.18"
"2016-08-30 06:03:45","11","6738","45967.25"
"2016-08-30 03:07:45","12","5194","27733.33"
"2016-08-30 02:51:20","18","10666","69479.06"
"2016-08-30 01:35:14","25","14397","96593.53"
"2016-08-30 00:47:32","7","2977","15782.23"
"2016-08-30 00:08:20","14","5393","29151.21"
"2016-08-29 23:29:43","66","49246","345618.59"
"2016-08-29 21:06:41","61","35750","241711.25"
"2016-08-29 18:35:59","51","21887","116165.15"
"2016-08-29 16:26:12","29","12331","67909.96"
"2016-08-29 15:42:12","36","17917","107142.63"
"2016-08-29 15:23:57","11","2087","13282.42"
"2016-08-29 15:01:42","17","10798","75600.49"
"2016-08-29 11:46:09","11","6738","45967.25"
"2016-08-29 09:51:28","10","4536","25107.81"
"2016-08-29 06:37:47","11","4177","22266.77"
"2016-08-29 04:06:03","12","9429","61561.44"
"2016-08-28 23:27:28","37","21024","117862.77"
"2016-08-28 23:21:05","6","3498","19975.91"
"2016-08-28 22:41:16","6","2929","15578.40"
"2016-08-28 20:58:55","25","12011","80328.56"
"2016-08-28 20:36:22","9","20497","111810.55"
"2016-08-28 18:07:21","10","3835","20257.43"
"2016-08-28 17:16:50","15","10358","65091.39"
"2016-08-28 12:48:32","55","31887","217473.85"
"2016-08-28 12:09:44","9","5794","37465.37"
"2016-08-28 11:53:48","20","7613","41161.06"
"2016-08-28 11:25:50","9","20497","111810.55"
"2016-08-28 11:05:15","58","34963","235051.07"
"2016-08-28 10:57:17","67","40904","281018.36"
"2016-08-28 08:49:06","24","8110","43692.29"
"2016-08-28 07:24:01","24","8110","43692.29"
"2016-08-28 06:42:42","28","18924","124014.87"
"2016-08-28 03:44:39","15","5153","28296.53"
"2016-08-28 00:42:40","25","14397","96593.53"
"2016-08-27 22:51:26","20","12296","82013.05"
"2016-08-27 19:49:02","11","3778","19882.16"
"2016-08-27 19:41:39","24","9805","54114.02"
"2016-08-27 16:37:07","50","40833","293861.14"
"2016-08-27 12:35:19","9","4120","21937.08"
"2016-08-27 11:48:47","20","8003","42881.21"
"2016-08-27 08:50:24","27","11746","64536.17"
"2016-08-27 07:44:44","43","16849","94684.25"
"2016-08-27 04:48:11","7","5306","35759.70"
"2016-08-27 02:36:08","46","17788","96376.94"
"2016-08-27 02:24:11","43","28601","188457.46"
"2016-08-27 00:28:27","13","2244","14629.16"
"2016-08-26 23:21:23","18","5000","33982.78"
"2016-08-26 22:41:04","40","24120","127671.94"
"2016-08-26 18:59:57","23","8419","45557.51"
"2016-08-26 17:30:19","65","36887","251299.77"
"2016-08-26 17:15:01","21","6965","38204.46"
"2016-08-26 17:05:26","23","14424","99125.76"
"2016-08-26 16:32:33","37","22902","154811.43"
"2016-08-26 15:32:17","23","9789","54792.72"
"2016-08-26 13:55:21","6","748","3927.05"
"2016-08-26 13:00:13","57","22552","123503.18"
"2016-08-26 05:44:09","49","21791","122957.11"
"2016-08-26 02:06:01","9","3990","22100.01"
"2016-08-26 00:59:54","58","24155","135924.15"
"2016-08-25 21:21:47","12","10221","73833.01"
"2016-08-25 18:43:51","43","16849","94684.25"
"2016-08-25 11:20:27","40","24120","127671.94"
"2016-08-25 10:33:11","27","17563","115376.17"
"2016-08-25 09:38:11","25","19190","123847.32"
"2016-08-25 09:13:02","43","27077","179761.43"
"2016-08-25 07:47:33","8","14806","110027.29"
"2016-08-25 07:12:26","28","19747","127945.10"
"2016-08-25 06:12:32","38","21165","143471.26"
"2016-08-25 05:04:24","10","3979","22484.81"
"2016-08-25 04:42:50","25","14397","96593.53"
"2016-08-25 03:18:23","25","14382","98474.44"
"2016-08-25 02:35:46","10","8476","57059.76"
"2016-08-25 00:41:59","10","8476","57059.76"
"2016-08-24 22:44:49","32","14894","86362.70"
"2016-08-24 20:21:20","8","4256","28678.06"
"2016-08-24 19:25:11","19","11636","79488.37"
"2016-08-24 18:48:09","21","8842","47487.78"
"2016-08-24 15:02:19","12","8257","56179.21"
"2016-08-24 10:55:02","27","11746","64536.17"
"2016-08-24 10:12:19","58","27235","147599.56"
"2016-08-24 06:42:23","15","9469","62504.05"
"2016-08-24 06:18:56","71","42358","291047.25"
"2016-08-24 02:42:33","8","4256","28678.06"
"2016-08-23 23:48:34","7","4015","27074.63"
"2016-08-23 22:50:14","23","22841","167271.80"
"2016-08-23 22:26:42","16","8832","59727.21"
"2016-08-23 21:57:56","35","16574","94244.44"
"2016-08-23 19:28:05","63","21706","118879.76"
"2016-08-23 17:06:13","15","5153","28296.53"
"2016-08-23 16:05:21","16","3298","19963.61"
"2016-08-23 15:21:38","15","10358","65091.39"
"2016-08-23 15:18:45","7","16320","90105.16"
"2016-08-23 12:02:53","7","16320","90105.16"
"2016-08-23 10:34:50","57","24087","130964.11"
"2016-08-23 09:38:20","24","4795","28012.07"
"2016-08-23 09:03:15","3","1646","10667.46"
"2016-08-23 07:43:56","11","4177","22266.77"
"2016-08-23 07:09:12","59","28107","153705.10"
"2016-08-23 04:11:46","9","3711","19218.88"
"2016-08-23 04:11:20","30","21716","144865.83"
"2016-08-23 01:01:10","60","28629","163579.18"
"2016-08-23 00:20:20","7","4015","27074.63"
"2016-08-22 21:35:39","56","44750","231856.98"
"2016-08-22 21:06:06","49","21791","122957.11"
"2016-08-22 19:55:58","25","14929","96779.18"
"2016-08-22 19:54:56","9","6661","46822.63"
"2016-08-22 15:30:48","9","6661","46822.63"
"2016-08-22 13:10:14","8","5182","33028.08"
"2016-08-22 12:31:58","35","19596","131173.41"
"2016-08-22 11:05:58","65","36887","251299.77"
"2016-08-22 00:05:55","11","5292","30083.18"
"2016-08-22 00:02:45","28","12723","67459.65"
"2016-08-21 18:45:29","24","8110","43692.29"
"2016-08-21 16:34:04","12","7943","50888.03"
"2016-08-21 16:27:16","11","4564","24961.87"
"2016-08-21 15:48:47","20","6984","37796.28"
"2016-08-21 13:07:37","10","6886","44407.22"
"2016-08-21 11:57:09","9","3549","18491.51"
"2016-08-21 11:47:46","35","16574","94244.44"
"2016-08-21 10:13:50","12","5194","27733.33"
"2016-08-21 10:08:05","10","5586","38198.82"
"2016-08-21 09:38:04","14","11214","75110.81"
"2016-08-21 09:10:02","11","4564","24961.87"
"2016-08-21 08:08:13","9","4034","22734.13"
"2016-08-21 08:06:01","20","9824","64604.00"
"2016-08-21 05:33:10","24","16024","105115.44"
"2016-08-21 03:43:18","10","5586","38198.82"
"2016-08-21 02:40:43","24","10477","55883.55"
"2016-08-21 02:27:45","31","17836","118867.17"
"2016-08-21 00:26:08","10","6886","44407.22"
"2016-08-20 19:21:28","9","5661","36982.12"
"2016-08-20 18:25:05","42","24507","167717.40"
"2016-08-20 17:27:32","9","3549","18491.51"
"2016-08-20 17:07:50","10","4536","25107.81"
"2016-08-20 13:16:07","12","6065","38851.15"
"2016-08-20 13:16:06","35","15177","83419.38"
"2016-08-20 12:00:34","16","8567","57035.05"
"2016-08-20 10:04:31","66","43730","300694.79"
"2016-08-20 09:47:36","66","49246","345618.59"
"2016-08-20 04:50:47","51","34627","237781.30"
"2016-08-20 04:28:31","43","8276","51647.76"
"2016-08-20 03:32:46","18","10930","75130.50"
"2016-08-20 02:51:04","17","5915","32044.55"
"2016-08-20 01:40:55","10","3979","22484.81"
"2016-08-20 00:03:54","8","5759","37653.96"
"2016-08-19 22:21:09","55","24656","130153.59"
"2016-08-19 17:31:51","12","6148","40607.07"
